,AAPL,AMZN,BAC,BRK-B,CVX,GME,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.44709388971684055,0.3576751117734724,0.29806259314456035,0.3576751117734724,0.26825633383010433,0.5663189269746647,0.3576751117734724,0.3874813710879284,0.5365126676602087,0.3576751117734724,0.32786885245901637,0.32786885245901637,0.14903129657228018,0.0,0.05961251862891207,0.3576751117734724
AMZN,0.44709388971684055,1.0,0.3576751117734724,0.32786885245901637,0.3576751117734724,0.29806259314456035,0.5067064083457525,0.41728763040238454,0.32786885245901637,0.5365126676602087,0.44709388971684055,0.3874813710879284,0.32786885245901637,0.20864381520119227,0.0894187779433681,0.11922503725782414,0.26825633383010433
BAC,0.3576751117734724,0.3576751117734724,1.0,0.3874813710879284,0.41728763040238454,0.23845007451564829,0.3874813710879284,0.41728763040238454,0.5961251862891207,0.41728763040238454,0.32786885245901637,0.3874813710879284,0.3576751117734724,0.14903129657228018,0.029806259314456036,0.0,0.41728763040238454
BRK-B,0.29806259314456035,0.32786885245901637,0.3874813710879284,1.0,0.41728763040238454,0.23845007451564829,0.32786885245901637,0.44709388971684055,0.3576751117734724,0.3874813710879284,0.3874813710879284,0.32786885245901637,0.26825633383010433,0.0894187779433681,0.05961251862891207,0.11922503725782414,0.44709388971684055
CVX,0.3576751117734724,0.3576751117734724,0.41728763040238454,0.41728763040238454,1.0,0.26825633383010433,0.3576751117734724,0.47690014903129657,0.44709388971684055,0.44709388971684055,0.3576751117734724,0.3874813710879284,0.6557377049180327,0.20864381520119227,0.11922503725782414,0.029806259314456036,0.44709388971684055
GME,0.26825633383010433,0.29806259314456035,0.23845007451564829,0.23845007451564829,0.26825633383010433,1.0,0.29806259314456035,0.23845007451564829,0.20864381520119227,0.3874813710879284,0.26825633383010433,0.23845007451564829,0.3576751117734724,0.11922503725782414,0.1788375558867362,0.05961251862891207,0.23845007451564829
GOOGL,0.5663189269746647,0.5067064083457525,0.3874813710879284,0.32786885245901637,0.3576751117734724,0.29806259314456035,1.0,0.3874813710879284,0.3576751117734724,0.5663189269746647,0.32786885245901637,0.3874813710879284,0.29806259314456035,0.1788375558867362,0.029806259314456036,0.05961251862891207,0.3576751117734724
JNJ,0.3576751117734724,0.41728763040238454,0.41728763040238454,0.44709388971684055,0.47690014903129657,0.23845007451564829,0.3874813710879284,1.0,0.44709388971684055,0.44709388971684055,0.32786885245901637,0.5663189269746647,0.41728763040238454,0.14903129657228018,0.05961251862891207,0.029806259314456036,0.41728763040238454
JPM,0.3874813710879284,0.32786885245901637,0.5961251862891207,0.3576751117734724,0.44709388971684055,0.20864381520119227,0.3576751117734724,0.44709388971684055,1.0,0.41728763040238454,0.29806259314456035,0.44709388971684055,0.32786885245901637,0.0894187779433681,0.05961251862891207,0.0,0.41728763040238454
MSFT,0.5365126676602087,0.5365126676602087,0.41728763040238454,0.3874813710879284,0.44709388971684055,0.3874813710879284,0.5663189269746647,0.44709388971684055,0.41728763040238454,1.0,0.41728763040238454,0.41728763040238454,0.3874813710879284,0.20864381520119227,0.029806259314456036,0.0894187779433681,0.44709388971684055
NVDA,0.3576751117734724,0.44709388971684055,0.32786885245901637,0.3874813710879284,0.3576751117734724,0.26825633383010433,0.32786885245901637,0.32786885245901637,0.29806259314456035,0.41728763040238454,1.0,0.29806259314456035,0.32786885245901637,0.11922503725782414,0.05961251862891207,0.05961251862891207,0.3576751117734724
PG,0.32786885245901637,0.3874813710879284,0.3874813710879284,0.32786885245901637,0.3874813710879284,0.23845007451564829,0.3874813710879284,0.5663189269746647,0.44709388971684055,0.41728763040238454,0.29806259314456035,1.0,0.32786885245901637,0.11922503725782414,0.05961251862891207,0.0,0.32786885245901637
XOM,0.32786885245901637,0.32786885245901637,0.3576751117734724,0.26825633383010433,0.6557377049180327,0.3576751117734724,0.29806259314456035,0.41728763040238454,0.32786885245901637,0.3874813710879284,0.32786885245901637,0.32786885245901637,1.0,0.23845007451564829,0.0894187779433681,0.05961251862891207,0.3874813710879284
GLD,0.14903129657228018,0.20864381520119227,0.14903129657228018,0.0894187779433681,0.20864381520119227,0.11922503725782414,0.1788375558867362,0.14903129657228018,0.0894187779433681,0.20864381520119227,0.11922503725782414,0.11922503725782414,0.23845007451564829,1.0,0.1788375558867362,0.14903129657228018,0.23845007451564829
IEF,0.0,0.0894187779433681,0.029806259314456036,0.05961251862891207,0.11922503725782414,0.1788375558867362,0.029806259314456036,0.05961251862891207,0.05961251862891207,0.029806259314456036,0.05961251862891207,0.05961251862891207,0.0894187779433681,0.1788375558867362,1.0,0.5067064083457525,0.14903129657228018
SHY,0.05961251862891207,0.11922503725782414,0.0,0.11922503725782414,0.029806259314456036,0.05961251862891207,0.05961251862891207,0.029806259314456036,0.0,0.0894187779433681,0.05961251862891207,0.0,0.05961251862891207,0.14903129657228018,0.5067064083457525,1.0,0.11922503725782414
HYG,0.3576751117734724,0.26825633383010433,0.41728763040238454,0.44709388971684055,0.44709388971684055,0.23845007451564829,0.3576751117734724,0.41728763040238454,0.41728763040238454,0.44709388971684055,0.3576751117734724,0.32786885245901637,0.3874813710879284,0.23845007451564829,0.14903129657228018,0.11922503725782414,1.0
