,AAPL,AMZN,BAC,BRK-B,CVX,ENPH,GOOGL,JNJ,JPM,MSFT,NVDA,PG,XOM,GLD,IEF,SHY,HYG
AAPL,1.0,0.2967359050445104,0.3214638971315529,0.22255192878338279,0.2472799208704253,0.22255192878338279,0.34619188921859545,0.2472799208704253,0.3214638971315529,0.37091988130563797,0.3214638971315529,0.2472799208704253,0.3214638971315529,0.12363996043521265,0.0,0.0,0.27200791295746785
AMZN,0.2967359050445104,1.0,0.2472799208704253,0.22255192878338279,0.22255192878338279,0.12363996043521265,0.22255192878338279,0.19782393669634024,0.2472799208704253,0.27200791295746785,0.19782393669634024,0.17309594460929772,0.19782393669634024,0.04945598417408506,0.0,0.0,0.17309594460929772
BAC,0.3214638971315529,0.2472799208704253,1.0,0.44510385756676557,0.37091988130563797,0.17309594460929772,0.27200791295746785,0.3214638971315529,0.5687438180019783,0.2967359050445104,0.3214638971315529,0.2967359050445104,0.37091988130563797,0.04945598417408506,0.04945598417408506,0.02472799208704253,0.5192878338278931
BRK-B,0.22255192878338279,0.22255192878338279,0.44510385756676557,1.0,0.3956478733926805,0.1483679525222552,0.3214638971315529,0.37091988130563797,0.3956478733926805,0.34619188921859545,0.27200791295746785,0.3214638971315529,0.3956478733926805,0.02472799208704253,0.04945598417408506,0.04945598417408506,0.44510385756676557
CVX,0.2472799208704253,0.22255192878338279,0.37091988130563797,0.3956478733926805,1.0,0.22255192878338279,0.2967359050445104,0.3214638971315529,0.42037586547972305,0.2472799208704253,0.34619188921859545,0.27200791295746785,0.6181998021760633,0.09891196834817012,0.04945598417408506,0.0,0.37091988130563797
ENPH,0.22255192878338279,0.12363996043521265,0.17309594460929772,0.1483679525222552,0.22255192878338279,1.0,0.19782393669634024,0.17309594460929772,0.19782393669634024,0.19782393669634024,0.19782393669634024,0.1483679525222552,0.17309594460929772,0.0741839762611276,0.02472799208704253,0.0,0.17309594460929772
GOOGL,0.34619188921859545,0.22255192878338279,0.27200791295746785,0.3214638971315529,0.2967359050445104,0.19782393669634024,1.0,0.27200791295746785,0.2472799208704253,0.44510385756676557,0.2967359050445104,0.2472799208704253,0.2472799208704253,0.0741839762611276,0.0,0.0,0.27200791295746785
JNJ,0.2472799208704253,0.19782393669634024,0.3214638971315529,0.37091988130563797,0.3214638971315529,0.17309594460929772,0.27200791295746785,1.0,0.3214638971315529,0.37091988130563797,0.19782393669634024,0.44510385756676557,0.3956478733926805,0.12363996043521265,0.02472799208704253,0.0,0.3214638971315529
JPM,0.3214638971315529,0.2472799208704253,0.5687438180019783,0.3956478733926805,0.42037586547972305,0.19782393669634024,0.2472799208704253,0.3214638971315529,1.0,0.27200791295746785,0.2472799208704253,0.3214638971315529,0.44510385756676557,0.0741839762611276,0.02472799208704253,0.02472799208704253,0.42037586547972305
MSFT,0.37091988130563797,0.27200791295746785,0.2967359050445104,0.34619188921859545,0.2472799208704253,0.19782393669634024,0.44510385756676557,0.37091988130563797,0.27200791295746785,1.0,0.2967359050445104,0.2967359050445104,0.34619188921859545,0.09891196834817012,0.0,0.0,0.2967359050445104
NVDA,0.3214638971315529,0.19782393669634024,0.3214638971315529,0.27200791295746785,0.34619188921859545,0.19782393669634024,0.2967359050445104,0.19782393669634024,0.2472799208704253,0.2967359050445104,1.0,0.17309594460929772,0.2967359050445104,0.0741839762611276,0.02472799208704253,0.0,0.2967359050445104
PG,0.2472799208704253,0.17309594460929772,0.2967359050445104,0.3214638971315529,0.27200791295746785,0.1483679525222552,0.2472799208704253,0.44510385756676557,0.3214638971315529,0.2967359050445104,0.17309594460929772,1.0,0.2967359050445104,0.12363996043521265,0.0,0.0,0.27200791295746785
XOM,0.3214638971315529,0.19782393669634024,0.37091988130563797,0.3956478733926805,0.6181998021760633,0.17309594460929772,0.2472799208704253,0.3956478733926805,0.44510385756676557,0.34619188921859545,0.2967359050445104,0.2967359050445104,1.0,0.1483679525222552,0.04945598417408506,0.0,0.34619188921859545
GLD,0.12363996043521265,0.04945598417408506,0.04945598417408506,0.02472799208704253,0.09891196834817012,0.0741839762611276,0.0741839762611276,0.12363996043521265,0.0741839762611276,0.09891196834817012,0.0741839762611276,0.12363996043521265,0.1483679525222552,1.0,0.12363996043521265,0.12363996043521265,0.09891196834817012
IEF,0.0,0.0,0.04945598417408506,0.04945598417408506,0.04945598417408506,0.02472799208704253,0.0,0.02472799208704253,0.02472799208704253,0.0,0.02472799208704253,0.0,0.04945598417408506,0.12363996043521265,1.0,0.3956478733926805,0.09891196834817012
SHY,0.0,0.0,0.02472799208704253,0.04945598417408506,0.0,0.0,0.0,0.0,0.02472799208704253,0.0,0.0,0.0,0.0,0.12363996043521265,0.3956478733926805,1.0,0.04945598417408506
HYG,0.27200791295746785,0.17309594460929772,0.5192878338278931,0.44510385756676557,0.37091988130563797,0.17309594460929772,0.27200791295746785,0.3214638971315529,0.42037586547972305,0.2967359050445104,0.2967359050445104,0.27200791295746785,0.34619188921859545,0.09891196834817012,0.09891196834817012,0.04945598417408506,1.0
